"UNITID","EFYTOTLT"
100654,4865
100663,13440
100690,415
100706,6994
100724,5373
100751,35199
100760,2379
100812,4124
100830,5072
100858,22953
100937,1382
101028,2361
101073,538
101116,777
101143,2645
101161,6859
101189,3384
101240,7089
101277,132
101286,6460
101295,7132
101301,2671
101365,675
101435,1311
101453,60
101462,1459
101471,759
101480,8628
101499,1628
101505,13591
101514,15575
101541,474
101569,4814
101587,2273
101602,2396
101648,475
101675,2167
101693,1653
101709,2756
101736,5105
101879,6807
101897,3635
101912,1874
101949,1880
101958,34
101994,769
102030,5032
102049,3282
102058,332
102067,7386
102076,3534
102094,13267
102234,1436
102261,182
102270,968
102298,1092
102313,2114
102368,17375
102377,2601
102395,270
102429,5453
102553,24754
102580,42
102614,13045
102632,4830
102669,348
102711,1973
102845,3976
103501,648
103741,174
103811,1222
103893,1202
103909,1060
103927,580
103945,190
103954,85
103963,1294
104090,1860
104151,45594
104160,11766
104179,36246
104188,160
104346,10231
104364,644
104391,106
104425,11491
104434,61
104443,104
104504,213
104568,558
104577,8139
104586,2356
104708,27947
104717,65668
104911,176
105145,8495
105154,30770
105206,7998
105215,1891
105297,1976
105330,28303
105349,6486
105367,566
105428,17382
105482,188
105525,36188
105534,3197
105543,1404
105589,493
105659,1096
105668,45317
105677,57
105701,54
105747,14760
105792,5772
105899,903
105987,547
106041,2910
106102,1397
106111,221
106148,10245
106245,10900
106263,828
106281,29
106306,1313
106315,153
106324,37
106342,747
106351,268
106360,51
106397,23946
106412,2798
106449,5619
106458,11198
106467,12650
106485,4055
106494,94
106546,918
106625,1894
106704,11158
106713,1019
106795,2226
106810,249
106829,320
106883,1860
106892,429
106908,552
106980,3506
106999,1796
107044,4889
107071,3427
107080,1405
107099,45
107123,138
107141,2331
107211,34
107220,370
107293,130
107318,2467
107327,2033
107363,95
107442,90
107460,2290
107488,347
107512,1669
107521,1787
107549,1565
107558,688
107585,2677
107600,703
107619,2126
107637,2117
107655,57
107664,10607
107725,1940
107743,1296
107789,156
107831,111
107840,394
107877,566
107974,2161
107983,3376
107992,3338
108065,24
108092,7688
108232,11708
108348,53
108649,267
108667,10951
108807,16958
108852,338
108977,162
109040,2545
109086,48
109208,46579
109350,18654
109651,2535
109721,513
109730,241
109785,6379
109819,28307
109907,4777
109934,275
110060,346
110097,4437
110194,354
110219,2657
110246,14862
110316,112
110334,17887
110361,7791
110370,1656
110404,1034
110413,3114
110422,20622
110468,1771
110486,9229
110495,8745
110510,18483
110529,22651
110538,17353
110547,13040
110556,22308
110565,36593
110574,14540
110583,34062
110592,24156
110608,38667
110617,29768
110635,29591
110644,30215
110653,26991
110662,31906
110671,19765
110680,27918
110705,21897
110714,17380
110778,15
110875,145
110918,20
111009,453
111054,361
111081,975
111188,1147
111434,10595
111461,30369
111513,287
111638,525
111708,383
111717,594
111726,500
111744,282
111762,207
111799,154
111887,27908
111896,8198
111920,19599
111939,27430
111948,6649
111966,115
112075,2230
112084,1077
112172,17908
112181,154
112190,34986
112260,1359
112288,673
112367,808
112385,20723
112394,716
112446,516
112455,65
112561,3599
112570,388
112686,11602
112826,9770
113096,20517
113111,8180
113193,14529
113218,13617
113236,21790
113333,32673
113449,307
113537,17
113573,13300
113582,218
113634,29944
113698,1566
113856,53984
113980,32068
114044,745
114123,600
114266,13865
114354,3821
114390,503
114415,121
114433,3643
114460,424
114628,9
114637,62
114716,29646
114761,96
114789,33116
114813,3019
114859,33519
114938,10495
114947,500
115001,21491
115010,574
115083,605
115126,17710
115296,25153
115357,85
115393,17166
115409,831
115658,193
115728,747
115755,8686
115773,753
115861,9916
115931,693
116226,280
116350,426
116439,19473
116563,226
116712,229
116846,79
117052,16076
117104,604
117113,1957
117140,6674
117168,611
117195,6046
117238,208
117247,19236
117274,4484
117557,252
117575,98
117627,2405
117636,1666
117645,32506
117672,1067
117690,13780
117706,29890
117715,10789
117724,22401
117733,27113
117751,1427
117788,29637
117803,262
117867,14701
117894,12681
117928,1115
117946,6624
117955,437
118134,118
118143,101
118161,205
118189,134
118198,1267
118259,809
118277,1756
118286,1216
118347,7879
118541,1712
118684,6698
118693,852
118718,13778
118772,10948
118888,917
118912,21745
118930,13755
118958,63
118967,1360
118976,24227
118994,254
119058,20
119067,12729
119137,19571
119164,37803
119173,3036
119216,20233
119270,1516
119331,8951
119553,922
119605,14393
119775,453
119845,315
119951,307
120069,408
120078,976
120087,370
120184,1512
120254,2175
120272,73
120290,16861
120342,29075
120403,1154
120421,10917
120537,1438
120661,1151
120698,214
120768,761
120838,23
120865,1902
120883,3973
120953,7158
120971,34340
121044,36283
121150,3698
121257,1094
121275,275
121309,3062
121345,1661
121363,5322
121433,146
121619,46704
121637,129
121691,3848
121707,6235
121859,241
121868,153
121886,28014
121901,27802
121983,170
121992,218
122117,79
122126,43
122180,32814
122205,30330
122296,851
122339,25862
122366,244
122375,36580
122384,22005
122409,30960
122436,6166
122454,541
122506,167
122597,29787
122612,7469
122658,25070
122685,9189
122728,1286
122746,12811
122755,27855
122791,13890
122834,863
122852,247
122889,25556
122931,5759
122977,43356
123013,32465
123165,1023
123217,14544
123280,48
123299,12300
123341,24931
123350,169
123396,103
123457,1081
123484,4281
123493,780
123509,15862
123527,17811
123554,3105
123563,14284
123572,9053
123633,90
123642,429
123651,2451
123679,1060
123800,24768
123952,287
123961,20543
124113,9261
124292,378
124487,275
124681,1090
124706,1205
124779,21
124937,1220
125028,19252
125082,176
125091,16344
125170,12028
125231,13809
125310,45
125462,4545
125471,18120
125499,14455
125532,2130
125727,1359
125763,1709
125897,1526
126076,234
126119,10244
126164,116
126182,2685
126207,7540
126289,14593
126359,642
126401,306
126562,18332
126580,13528
126605,436
126614,30187
126669,10088
126678,2322
126687,1191
126702,1619
126711,8588
126748,1638
126775,4821
126784,284
126818,26719
126827,38580
126863,10529
126872,397
126915,653
126942,13616
126951,1638
127060,6151
127158,4891
127185,4086
127200,30086
127219,44
127228,190
127316,407
127389,996
127556,10751
127565,24868
127617,2171
127653,516
127680,357
127714,1173
127732,2185
127741,10835
127778,1847
127787,400
127820,19020
127839,593
127884,8916
127909,13682
127918,5548
127945,1345
127954,29
128106,6683
128151,1342
128179,1381
128188,1314
128258,2291
128328,4112
128337,124
128391,3268
128498,1658
128540,160
128577,2388
128586,67
128674,602
128683,858
128726,207
128744,3351
128771,11213
128780,2507
128896,457
128902,1972
129002,505
129020,20152
129154,5019
129181,1200
129215,5699
129242,4398
129349,192
129367,5227
129482,641
129525,6085
129534,176
129543,7319
129695,9964
129729,9299
129756,4355
129774,790
129808,5639
129923,687
129932,710
129941,5386
129969,389
130004,8483
130040,2015
130110,143
130174,4195
130183,14096
130217,2098
130226,7418
130253,5775
130314,1124
130396,11003
130448,1009
130493,9286
130509,816
130590,2434
130606,5920
130624,583
130697,3091
130776,6423
130794,7150
130837,46
130873,686
130907,18957
130934,4413
130943,20498
130989,692
131061,178
131098,1693
131113,12169
131159,8666
131283,3561
131399,5754
131450,1126
131469,12039
131496,8719
131520,7203
131803,1330
131830,55
131876,1796
132268,380
132338,1747
132374,4654
132408,537
132471,4403
132602,4063
132657,2186
132675,247
132693,20692
132709,63024
132806,15
132842,589
132851,10099
132879,220
132903,63692
132976,289
133021,2712
133155,881
133386,20303
133465,1511
133492,2278
133508,21180
133526,3650
133553,5629
133650,9130
133669,32087
133702,41069
133711,2840
133809,576
133845,873
133854,855
133863,779
133872,2260
133881,3902
133942,79
133951,55100
133960,1482
133979,1569
133997,483
134024,249
134079,2737
134097,35129
134112,7285
134130,36703
134149,737
134228,34
134237,24698
134291,901
134307,1408
134343,8157
134422,162
134495,37959
134510,261
134529,455
134574,300
134608,24729
134680,358
134714,364
134811,3220
134945,4062
135063,483
135081,32937
135124,964
135142,479
135160,4207
135179,1073
135188,6078
135267,1348
135276,889
135294,1249
135337,254
135364,454
135391,14939
135407,1712
135522,557
135559,126
135610,234
135647,1791
135717,91749
135726,12243
135735,3169
135771,712
135939,52
136066,895
136109,210
136145,1682
136172,16481
136215,5136
136233,8632
136288,328
136303,1710
136330,3402
136358,41851
136400,15199
136473,13812
136491,1834
136516,15197
136659,776
136765,517
136774,1277
136783,85
136826,1239
136950,2874
137023,866
137032,21098
137078,41532
137087,1585
137096,19909
137120,1744
137148,211
137209,24801
137245,2840
137272,65
137281,9241
137315,3532
137351,34324
137476,3753
137546,3179
137564,4489
137591,609
137713,233
137759,17416
137777,47
137801,578
137810,341
137847,7724
137856,237
137865,618
137953,459
137962,250
138132,128
138187,60908
138275,1164
138284,574
138293,747
138309,12305
138354,12463
138372,2174
138479,1599
138488,1462
138497,481
138558,3991
138600,959
138655,727
138664,84
138682,5036
138691,7221
138716,3303
138761,352
138789,7357
138813,3191
138822,874
138840,6017
138868,1849
138901,4437
138938,553
138947,3022
138956,6363
139010,3226
139144,2189
139153,513
139199,2057
139205,798
139214,319
139250,3847
139278,9306
139287,137
139311,8051
139357,5344
139366,8439
139384,8265
139393,1081
139463,5895
139506,236
139579,1150
139621,3805
139630,937
139658,7764
139700,7580
139719,2553
139746,72
139755,16694
139764,2868
139861,6751
139931,20522
139940,29438
139959,30197
139968,4754
139986,6697
139995,220
140003,636
140012,10112
140234,971
140243,5111
140252,638
140331,14402
140340,902
140447,5057
140553,2266
140678,3697
140696,1663
140720,692
140818,1576
140827,114
140872,1440
140942,6253
140951,10867
140960,5266
140988,1656
141006,2725
141015,399
141060,2180
141167,975
141185,1150
141237,2131
141255,5635
141264,10218
141325,780
141334,12171
141361,1231
141486,2299
141565,3899
141574,15844
141608,142
141644,4725
141680,5910
141796,11035
141802,1702
141811,10733
141839,4647
141848,90
141945,120
141981,3416
141990,3896
142054,666
142090,163
142115,22234
142179,1012
