UNITID,EFFT,EFLEVEL
100654,4211,30
100654,1410,31
100663,8941,30
100663,1948,31
100690,135,30
100690,3,31
100706,5238,30
100706,1203,31
100724,4362,30
100724,1143,31
100751,29071,30
100751,7541,31
100760,935,30
100760,337,31
100812,1208,30
100830,3090,30
100830,558,31
100858,20260,30
100858,4487,31
100937,1282,30
100937,328,31
101028,860,30
101028,293,31
101073,305,30
101073,134,31
101116,238,30
101116,20,31
101143,821,30
101143,296,31
101161,2539,30
101161,1042,31
101189,1779,30
101189,297,31
101240,2471,30
101240,979,31
101277,82,30
101277,61,31
101286,1962,30
101286,733,31
101295,2606,30
101295,908,31
101301,898,30
101301,339,31
101365,181,30
101365,10,31
101435,880,30
101435,277,31
101453,22,30
101453,1,31
101462,453,30
101462,123,31
101471,385,30
101471,238,31
101480,5392,30
101480,1294,31
101499,548,30
101499,258,31
101505,2784,30
101505,1079,31
101514,3470,30
101514,1143,31
101541,241,30
101541,86,31
101569,1690,30
101569,638,31
101587,1722,30
101587,373,31
101602,1032,30
101602,414,31
101648,421,30
101648,275,31
101675,1771,30
101675,428,31
101693,1241,30
101693,224,31
101709,2177,30
101709,473,31
101736,1568,30
101736,751,31
101879,5143,30
101879,1177,31
101897,1186,30
101897,491,31
101912,1626,30
101912,390,31
101949,792,30
101949,381,31
101958,1,30
101994,205,30
101994,66,31
102030,1557,30
102030,597,31
102049,3204,30
102049,916,31
102058,161,30
102058,53,31
102067,2093,30
102067,613,31
102076,1344,30
102076,569,31
102094,9596,30
102094,1955,31
102234,1365,30
102234,392,31
102261,106,30
102261,13,31
102270,579,30
102270,125,31
102298,624,30
102298,25,31
102313,745,30
102313,235,31
102368,9329,30
102368,1830,31
102377,2346,30
102377,654,31
102395,11,30
102429,1715,30
102429,507,31
102553,6560,30
102553,1322,31
102580,25,30
102580,6,31
102614,3097,30
102614,670,31
102632,577,30
102632,118,31
102669,190,30
102669,39,31
102711,246,30
102711,196,31
102845,2641,30
102845,939,31
103501,424,30
103501,129,31
103741,71,30
103741,41,31
103811,274,30
103811,81,31
103893,653,30
103893,101,31
103909,565,30
103909,68,31
103927,308,30
103927,54,31
103945,101,30
103945,10,31
103954,90,30
103954,6,31
103963,739,30
103963,360,31
104090,689,30
104090,490,31
104151,38761,30
104151,8185,31
104160,2163,30
104160,625,31
104179,29049,30
104179,5997,31
104188,120,30
104188,24,31
104346,1732,30
104346,503,31
104364,171,30
104391,60,30
104391,54,31
104425,1626,30
104425,453,31
104434,35,30
104434,19,31
104443,33,30
104443,13,31
104504,48,30
104504,18,31
104568,133,30
104568,121,31
104577,1969,30
104577,427,31
104586,2255,30
104586,599,31
104708,5546,30
104708,1698,31
104717,14542,30
104717,2375,31
104911,55,30
104911,7,31
105145,1265,30
105145,334,31
105154,5883,30
105154,1589,31
105206,709,30
105206,174,31
105215,1182,30
105215,229,31
105297,851,30
105297,118,31
105330,21490,30
105330,5010,31
105349,428,30
105349,61,31
105367,2,30
105367,,31
105428,2846,30
105428,790,31
105482,45,30
105482,18,31
105525,7476,30
105525,2210,31
105534,2109,30
105534,559,31
105543,872,30
105543,210,31
105589,265,30
105589,47,31
105659,657,30
105659,173,31
105668,1124,30
105668,109,31
105677,40,30
105677,12,31
105701,57,30
105701,32,31
105747,2342,30
105747,673,31
105792,1213,30
105792,441,31
105899,651,30
105899,129,31
105987,102,30
106041,1896,30
106041,382,31
106102,1133,30
106102,88,31
106111,63,30
106111,36,31
106148,1694,30
106148,425,31
106245,4424,30
106245,768,31
106263,501,30
106306,753,30
106306,245,31
106315,84,30
106315,6,31
106324,15,30
106324,11,31
106342,678,30
106342,200,31
106351,129,30
106351,6,31
106360,39,30
106360,9,31
106397,19774,30
106397,4938,31
106412,2502,30
106412,763,31
106449,2045,30
106449,565,31
106458,7248,30
106458,1609,31
106467,6773,30
106467,1819,31
106485,2162,30
106485,489,31
106494,73,30
106494,22,31
106546,583,30
106546,12,31
106625,899,30
106625,327,31
106704,7956,30
106704,1867,31
106713,631,30
106713,126,31
106795,508,30
106795,205,31
106810,192,30
106810,84,31
106829,159,30
106829,47,31
106883,436,30
106883,191,31
106892,134,30
106892,29,31
106908,270,30
106908,44,31
106980,1232,30
106980,377,31
106999,678,30
106999,261,31
107044,4143,30
107044,1013,31
107071,2790,30
107071,740,31
107080,1311,30
107080,352,31
107099,8,30
107099,3,31
107123,61,30
107141,1521,30
107141,323,31
107211,12,30
107211,3,31
107220,140,30
107220,132,31
107293,73,30
107293,15,31
107318,488,30
107318,143,31
107327,606,30
107327,213,31
107442,54,30
107442,8,31
107460,1020,30
107460,403,31
107488,239,30
107488,235,31
107512,1461,30
107512,395,31
107521,429,30
107521,124,31
107549,613,30
107549,168,31
107558,667,30
107558,189,31
107585,1239,30
107585,444,31
107600,725,30
107600,280,31
107619,498,30
107619,114,31
107637,576,30
107637,156,31
107655,25,30
107655,5,31
107664,2753,30
107664,461,31
107725,709,30
107725,252,31
107743,319,30
107743,120,31
107789,88,30
107789,24,31
107831,72,30
107831,11,31
107840,408,30
107840,257,31
107877,423,30
107877,113,31
107974,591,30
107974,134,31
107983,2816,30
107983,846,31
107992,531,30
107992,211,31
108065,7,30
108065,4,31
108092,4235,30
108092,941,31
108232,4813,30
108232,618,31
108348,11,30
108348,9,31
108649,82,30
108649,67,31
108667,884,30
108667,269,31
108807,3242,30
108807,960,31
108852,303,30
108852,139,31
108977,81,30
108977,25,31
109040,1315,30
109040,128,31
109086,1,30
109208,6254,30
109208,1371,31
109350,4027,30
109350,1085,31
109651,1641,30
109651,210,31
109721,440,30
109721,435,31
109730,62,30
109730,50,31
109785,5259,30
109785,1134,31
109819,6363,30
109819,1979,31
109907,1171,30
