"UNITID","OPEFLAG","SECTOR","DEGGRANT","HBCU","HOSPITAL","CARNEGIE","PSET4FLG","PEO1ISTR","PEO2ISTR","PEO3ISTR","PEO4ISTR","RELAFFIL","LEVEL7","LEVEL8","LEVEL17","LEVEL18","LEVEL19","OPENADMP","CREDITS1","CREDITS2","CREDITS3","CREDITS4","SLO5","SLO6","STUSRV1","STUSRV2","STUSRV3","STUSRV4","STUSRV8","ATHASSOC","SPORT1","CONFNO1","SPORT2","CONFNO2","SPORT3","CONFNO3","SPORT4","CONFNO4","APPLFEEU","ROOM","ROOMCAP","BOARD","RMBRDAMT","ALLONCAM","TUITPL","TUITPL1","TUITPL2","TUITPL3","TUITPL4","DISTCRS","LIBRES1","LIBRES2","LIBRES3","LIBRES4","LIBRES5","LIBRES6","LIBRES9","DISAB","TUITION1","FEE1","HRCHG1","TUITION2","FEE2","HRCHG2","TUITION3","FEE3","HRCHG3","chg2ay2","chg2at2","chg2af2","chg2ay3","chg2at3","chg2af3","chg3ay2","chg3at2","chg3af2","chg3ay3","chg3at3","chg3af3","RMINSTTP","RMOUSTTP","RMFRGNCP","DVEF13","DVEF14","DVEF15","ENRTOT","EFUG","EFUG1ST","EFUGTRN","EFUGCNT","PCUENRAN","PCUENRAP","PCUENRBK","PCUENRHS","PCUENRWH","PCUENR2M","PCUENRUN","PCUENRNR","PCUENRW","EFUGFT","EFUGPT","PCUENRNH","PCUENRAS","PCUDEEXC","PCUDESOM","PCUDENON","LPBOOKSP","LPMEDIAP","LEBOOKSP","LEDATABP","LEMEDIAP","LSALWAGP","LFRNGBNP","LEXMSBBP","LEXMSCSP","LEXMSOTP","LEXOMTLP","LEXPTOTF","LPSERIAP","LESERIAP","F1CORREV","F3GVGCPC","F1TUFEPC","F1STAPPC","F1LCAPPC","F1GVGCPC","F1PGGCPC","F1INVRPC","F1OTRVPC","F1COREXP","F1INSTPC","F1RSRCPC","F1PBSVPC","F1ACSPPC","F1STSVPC","F1INSUPC","F1OTEXPC","F1SAFBPC","F1EQUITR","F1ENDMFT","F2CORREV","F2TUFEPC","F2GVGCPC","F2PGGCPC","F2INVRPC","F2OTRVPC","F2COREXP","F2INSTPC","F2RSRCPC","F2PBSVPC","F2ACSPPC","F2STSVPC","F2INSUPC","F2OTEXPC","Expr1155","F2ENDMFT","F2EQUITR","F2SAFBPC","F3CORREV","F3TUFEPC","F3SSEAPC","F3OTRVPC","F3TUFEFT","F3SSEAFT","F3OTRVFT","F3COREXP","F3INSTPC","F3OTEXPC","F3EQUITR","F3PGGCPC","F3INVRPC","F3RSRCPC","F3PBSVPC","F3ACSPPC","F3STSVPC","F3INSUPC","F3SAFBPC","F3SWINSP","F3SWRSRP","F3SWPBSP","F3SWACSP","F3SWSTSP","F3SWISPP","F3SWOTEP","F3SWCREP","F1SWCREP","F1SWINSP","F1SWRSRP","F1SWPBSP","F1SWACSP","F1SWSTSP","F1SWISPP","F1SWOTEP","F2SWCREP","F2SWINSP","F2SWRSRP","F2SWPBSP","F2SWACSP","F2SWSTSP","F2SWISPP","F2SWOTEP","SALTOTL","SalProf","SalAssc","SalAsst","SalInst","Sallect","SALNRNK","SFTETOTL","SFTEPSTC","SFTELCAI","CINSON","COTSON","CINSOFF","COTSOFF","TUFEYR2","TUFEYR3","PRCH_EF","IDX_EF","PRCH_F","IDX_F","PRCH_SFA","IDX_SFA"
100654,1,1,1,1,2,16,1,0,1,0,0,-2,1,1,1,0,0,2,1,0,1,0,1,1,1,1,1,1,1,1,1,133,1,133,1,133,1,200,30,1,2323,1,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,1,8130,1236,271,8130,1236,271,16260,1236,542,9366,7770,1596,9366,8130,1236,17136,15540,1596,17496,16260,1236,61,38,0,,,,5859,4851,1448,210,2958,0,0,91,1,2,4,0,1,57,4436,415,0,0,1,17,82,49,1,0,0,7,33,12,3,37,11,4,590,0,43,136330100.00,,34,30,0,30,2,0,4,132815280.00,21,5,10,4,12,17,30,49,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,73,46,55,49,44,50,0,,,,,,,,,63193,86750,70031,57676,44281,,39350,846,292,21,22886,31016,22886,31016,9366,9366,-2,-2,-2,-2,-2,-2
100663,1,1,1,2,1,15,1,0,1,1,0,-2,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,0,1,1,111,1,111,1,111,1,111,30,1,2785,1,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,1,8040,0,316,8040,0,316,18368,0,746,7766,7766,0,8040,8040,0,17654,17654,0,18368,18368,0,85,13,2,,,,19535,12369,2021,1598,8428,0,6,26,3,58,4,1,2,59,8971,3398,0,6,14,41,45,56,12,6,0,12,36,11,2,44,0,7,630,11,2,1214467153.00,,15,22,0,32,8,10,14,1103350993.00,26,24,14,16,4,13,2,53,41,26979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,62,43,45,60,40,38,0,,,,,,,,,93743,133173,91643,74336,65382,,,8459,2350,182,25808,36136,25808,36136,7766,8040,-2,-2,-2,-2,-2,-2
100690,1,2,1,2,2,51,1,0,1,0,0,74,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,2,2,-2,2,-2,2,-2,2,-2,50,2,,3,,2,1,1,0,0,0,1,1,1,1,1,1,1,0,1,9000,1180,430,9000,1180,430,9000,1180,430,7180,6000,1180,7180,6000,1180,7180,6000,1180,7180,6000,1180,83,17,0,0,16,83,597,294,23,43,227,0,0,23,1,16,0,60,0,61,135,159,0,0,100,0,0,98,0,0,0,0,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,7854250.00,87,0,11,2,0,7713852.00,29,0,0,5,10,57,0,52,423,74,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,67,,,84,79,25,,34714,30956,49030,20450,23194,,,67,32,19,,,19880,19880,7180,7180,-2,-2,-2,-2,-2,-2
100706,1,1,1,2,2,16,1,0,1,1,1,-2,1,1,1,1,0,2,1,0,1,0,1,1,1,1,1,1,1,1,2,-2,1,146,1,146,1,146,30,1,1652,2,9603,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,8996,846,376,8996,846,376,19766,846,826,9128,9128,0,9842,8996,846,20622,20622,0,20612,19766,846,71,27,2,,,,8468,6507,1213,777,4356,1,4,11,4,71,2,3,3,42,5257,1250,0,4,1,8,91,35,2,57,0,0,43,0,2,52,1,2,383,1,6,209779451.00,,28,21,0,40,4,4,2,206922253.00,33,37,2,6,9,12,1,69,32,11570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,57,60,34,51,37,46,0,,,,,,,,,85089,123079,92721,75107,57927,50529,,1369,389,20,24711,35481,24711,35481,9128,9842,-2,-2,-2,-2,-2,-2
100724,1,1,1,1,2,21,1,1,1,0,0,-2,1,1,1,1,0,2,1,1,1,0,1,1,1,1,1,1,0,1,1,133,1,133,1,133,1,133,25,1,2491,1,,2,1,0,0,1,0,1,1,1,1,1,1,0,0,1,6936,2284,289,6936,2284,289,13872,2284,578,8973,6939,2034,9220,6936,2284,15906,13872,2034,16156,13872,2284,57,42,1,1,90,9,5318,4727,1163,154,3387,0,0,93,1,1,1,1,2,62,4368,359,0,0,6,5,89,72,10,16,0,0,62,12,3,17,0,6,549,0,1,130600011.00,,33,32,0,24,2,1,7,129169849.00,32,2,4,10,13,23,16,48,7,17856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,60,32,16,38,46,36,0,,,,,,,,,71666,97594,74662,67588,48327,,31996,894,306,67,19634,26570,22368,29304,8970,9220,-2,-2,-2,-2,-2,-2
100751,1,1,1,2,2,15,1,1,1,1,1,-2,1,1,1,1,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,130,1,130,1,130,1,130,40,1,8519,2,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,10470,0,569,10470,0,569,26950,0,1279,10170,10170,0,10470,10470,0,25950,25950,0,26950,26950,0,32,67,1,3,89,8,37663,32563,7559,1478,22626,0,1,10,4,78,3,0,2,56,29220,3343,0,1,7,19,74,68,3,26,0,1,36,0,4,44,3,12,620,0,2,953505593.00,,50,16,0,11,6,6,12,798334742.00,46,8,7,12,8,15,5,55,49,19529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,49,34,47,46,42,38,0,,,,,,,,,88850,141927,92545,72423,54162,72920,,5961,1547,213,28836,45316,28836,45316,10170,10470,-2,-2,-2,-2,-2,-2
100760,1,4,1,2,2,40,1,1,1,-2,0,-2,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,2,0,0,0,0,1,1,1,1,1,1,1,0,1,3510,870,117,3510,870,117,7020,870,234,4320,3450,870,4380,3510,870,7770,6900,870,7890,7020,870,97,2,1,12,66,22,1769,1769,385,92,1015,0,0,25,1,72,1,1,0,57,937,832,0,0,7,33,60,75,2,23,0,0,68,17,3,12,0,1,207,0,0,18904335.00,,15,43,0,40,0,0,2,21137580.00,41,0,1,10,12,23,13,53,18,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,58,,53,17,56,28,0,,,,,,,,,53749,,,,,,53749,169,84,6,,,16380,19890,4320,4380,-2,-2,-2,-2,-2,-2
100830,1,1,1,2,2,21,1,0,1,1,0,-2,1,0,1,0,0,2,1,0,1,0,1,1,1,1,1,1,0,1,2,-2,1,335,1,335,1,335,0,1,1200,2,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,1,8880,760,296,8880,760,296,19950,760,665,9350,8700,650,9640,8880,760,20210,19560,650,20710,19950,760,93,6,0,1,76,22,4878,4273,594,463,3114,1,3,36,1,51,4,1,4,64,3095,1178,0,2,4,28,68,41,0,59,0,0,51,15,2,22,5,6,503,0,0,80805445.00,,40,28,0,22,5,-1,5,84283576.00,34,0,15,6,9,16,20,59,2,11631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,72,46,31,68,58,44,9,,,,,,,,,65315,86289,67485,59314,67095,43983,,641,265,36,20080,31150,24087,35157,9350,9640,-2,-2,-2,-2,-2,-2
100858,1,1,1,2,2,15,1,0,1,1,0,-2,1,1,1,1,1,2,1,0,1,0,1,1,0,1,1,1,0,1,1,130,1,130,1,130,1,130,50,1,4798,2,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,9072,1624,378,9072,1624,378,27216,1624,1134,10424,8808,1616,10696,9072,1624,28040,26424,1616,28840,27216,1624,59,39,2,1,96,4,28290,22658,4529,1226,16340,1,2,7,3,81,1,1,5,49,20396,2262,0,2,0,17,82,47,18,30,0,1,30,9,8,43,0,9,611,2,2,903523466.00,,42,25,0,12,7,4,10,812546191.00,31,15,12,7,3,9,23,61,46,25526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,64,45,45,64,57,68,12,,,,,,,,,89219,119325,85951,73607,40982,51877,,5499,1591,119,30458,48602,30458,48602,10424,10696,-2,-2,-2,-2,-2,-2
100937,1,2,1,2,2,31,1,0,1,0,0,71,0,0,0,0,0,2,1,0,1,0,1,1,0,1,1,0,0,1,1,368,1,368,1,368,1,368,50,1,1597,1,11920,2,1,0,0,1,0,2,1,1,1,1,1,1,0,1,33200,1248,1383,33200,1248,1383,33200,1248,1383,33128,31954,1174,34448,33200,1248,33128,31954,1174,34448,33200,1248,54,45,1,,,,1293,1293,328,15,946,1,5,12,2,79,1,0,0,51,1284,9,0,5,0,0,100,50,7,38,0,1,44,9,6,33,0,9,732,1,3,,,,,,,,,,,,,,,,,,,,,24106527.00,62,1,41,-8,4,35761774.00,40,0,0,8,27,25,1,48,36488,63,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,60,,,25,43,44,0,65097,77440,61775,58949,40145,40521,,325,110,27,50400,50400,47980,47980,33128,34448,-2,-2,-2,-2,-2,-2
