"UNITID","SGRNT_T","IGRNT_T","LOAN_T","FLOAN_T","SCFA1N","SCFA1P","SCFA11P","SCFA12P","SCFA13P","SCFA14P","SCFY1N","SCFY1P","ANYAIDP","FGRNT_P","FGRNT_A","SGRNT_P","SGRNT_A","IGRNT_P","IGRNT_A","LOAN_P","LOAN_A","UAGRNTT","AGRNT_P","AGRNT_A","PGRNT_P","PGRNT_A","OFGRT_P","OFGRT_A","FLOAN_P","FLOAN_A","OLOAN_P","OLOAN_A","UAGRNTP","UAGRNTA","UPGRNTP","UPGRNTA","UFLOANP","UFLOANA","UAGRNTN","UFLOANT","AGRNT_T","FGRNT_T","PGRNT_T","OFGRT_T","OLOAN_T","AIDFSIP","SCFY11P","SCFY12P","SCFY13P","SCFY14P","GIS4A2","GIS4T12","GIS4A12","GIS4T22","GIS4A22","GIS4T32","GIS4A32","GIS4T42","GIS4A42","GIS4T52","GIS4A52","GRN4A2","GRN4T12","GRN4A12","GRN4T22","GRN4A22","GRN4T32","GRN4A32","GRN4T42","GRN4A42","GRN4T52","GRN4A52"
102429,88833.00,563434.00,90248.00,0.00,600,17,0,99,1,0,,,94,69,4405,8,1974,34,2762,3,5309,11867746.00,85,4820,69,4359,7,492,0,,3,5309,77,4281,50,3840,0,,2772,0.00,2462861.00,1810594.00,1791394.00,19200.00,90248.00,85,,,,,5154,1443698.00,5308,479122.00,5043,180916.00,4413,9583.00,4792,0.00,,,,,,,,,,,,
102553,2433924.00,1595320.00,1566384.00,1424638.00,1339,8,0,92,8,0,,,81,30,4225,50,3655,30,3998,23,5170,34272969.00,70,6086,30,4128,4,777,22,4797,1,10904,42,5145,22,3538,23,6749,6661,24753999.00,5715078.00,1685834.00,1646976.00,38858.00,141746.00,78,,,,,5699,1768874.00,8383,634844.00,6683,461832.00,4441,107343.00,1626,93358.00,1506,,,,,,,,,,,
102580,0.00,1000.00,11583.00,11583.00,5,15,,,,,,,60,20,6600,0,,40,500,40,5792,65290.00,40,3800,20,5725,20,875,40,5792,0,,58,3436,21,4068,24,5937,19,47499.00,7600.00,6600.00,5725.00,875.00,0.00,60,,,,,,,,,,,,,,,,2533,0.00,,7100.00,7100,0.00,,500.00,500,0.00,0
104577,12800.00,948109.00,0.00,0.00,417,7,0,81,19,0,,,53,37,4412,4,753,34,6772,0,,8067875.00,51,7701,37,4300,6,717,0,,0,,25,5036,18,3831,0,,1602,0.00,1640331.00,679422.00,662222.00,17200.00,0.00,51,,,,,5124,338382.00,5371,141986.00,5259,68885.00,4920,19558.00,2794,0.00,,,,,,,,,,,,
104586,5291.00,8441672.00,4270573.00,1893695.00,579,26,,,,,,,96,24,4446,1,1323,96,15156,58,12786,31768353.00,96,16275,24,4174,3,2358,56,5809,18,23303,88,16342,26,4258,49,7251,1944,7787678.00,9064897.00,617934.00,580203.00,37731.00,2376878.00,96,,,,,,,,,,,,,,,,17167,1273340.00,20538,855518.00,20369,976370.00,16834,952920.00,15370,2121857.00,15602
104708,6500.00,698760.00,596404.00,596404.00,1801,9,97,1,3,0,,,67,51,4464,0,929,25,1563,11,3074,28693677.00,62,4295,51,4369,5,935,11,3074,0,,41,3533,34,3557,13,3795,8122,10003013.00,4776363.00,4071103.00,3984103.00,87000.00,0.00,66,,,,,4484,2827431.00,5458,1070923.00,4636,424006.00,2684,33545.00,685,2500.00,156,,,,,,,,,,,
104717,17000.00,19350369.00,12708498.00,11094430.00,2467,6,,,,,,,99,42,4666,1,895,95,8227,72,7204,236278304.00,98,10053,42,4530,7,1087,71,6325,7,10025,69,7913,46,5036,60,7772,29858,200799468.00,24206498.00,4839129.00,4656597.00,182532.00,1614068.00,99,,,,,,,,,,,,,,,,10233,6534982.00,12543,3577887.00,11926,2897217.00,9593,2564589.00,8142,3714129.00,8309
104911,0.00,39270.00,272565.00,272565.00,,,,,,,72,41,75,64,4351,0,,53,1033,65,5799,500218.00,65,5094,64,4071,44,403,65,5799,0,,56,5053,52,3909,55,5009,99,480836.00,239427.00,200157.00,187257.00,12900.00,0.00,75,,,,,,,,,,,,,,,,4876,214546.00,4989,0.00,0,0.00,,0.00,,0.00,
105145,500.00,134094.00,159902.00,159902.00,293,5,87,3,10,0,,,69,56,4637,0,500,27,1676,12,4703,7771464.00,65,4736,56,4542,11,500,12,4703,0,,43,3222,34,3347,20,6335,2412,7310856.00,895017.00,760423.00,744923.00,15500.00,0.00,68,,,,,4877,550895.00,5348,180852.00,5024,72692.00,4038,325.00,81,0.00,0,,,,,,,,,,,
105154,12500.00,637009.00,834670.00,812850.00,1587,7,81,5,14,0,,,64,47,4409,1,962,25,1633,15,3522,27569327.00,58,4234,47,4305,6,856,15,3444,0,4364,37,3457,30,3436,17,4056,7976,14654449.00,3907961.00,3258452.00,3181452.00,77000.00,21820.00,63,,,,,4446,2144072.00,5320,939266.00,4673,345604.00,2765,25808.00,759,3850.00,257,,,,,,,,,,,
105206,0.00,8428.00,87821.00,87821.00,139,3,91,0,9,0,,,72,65,4533,0,,9,702,12,5489,7228254.00,71,4295,65,4492,6,469,12,5489,0,,48,3489,41,3408,16,5510,2072,3735466.00,420908.00,412480.00,408730.00,3750.00,0.00,71,,,,,4338,264124.00,4891,88403.00,4420,25785.00,2344,3453.00,1151,0.00,,,,,,,,,,,,
105215,20096.00,206789.00,2599376.00,2397304.00,,,,,,,458,24,92,61,4866,3,1435,37,1209,72,7853,4779109.00,77,4475,60,4439,28,1074,72,7287,10,4210,73,3486,46,3891,53,7166,1371,7194979.00,1579615.00,1352730.00,1216370.00,136360.00,202072.00,92,,,,,,,,,,,,,,,,3521,439804.00,4942,93018.00,3578,49309.00,2465,27037.00,1040,14015.00,876
105297,66082.00,1700.00,0.00,0.00,115,8,0,89,0,11,,,89,84,2794,89,648,2,850,0,,3089274.00,89,3322,84,2737,23,213,0,,0,,72,2863,60,2391,0,,1079,0.00,338813.00,271031.00,265504.00,5527.00,0.00,89,,,,,2737,202253.00,2849,43946.00,2747,18142.00,2016,1163.00,1163,0.00,,,,,,,,,,,,
105330,588557.00,28654820.00,14717611.00,12870309.00,4663,19,0,64,36,0,,,92,36,4634,5,2383,82,7533,52,6122,139746800.00,86,9222,36,4352,7,1703,51,5447,3,12153,65,8524,35,4192,48,6872,16395,83562632.00,37080149.00,7836772.00,7289959.00,546813.00,1847302.00,91,,,,,10510,8053114.00,13267,4919996.00,12779,3277012.00,10338,2623893.00,7763,1946908.00,5829,,,,,,,,,,,
